,Jahr,TK_Nr,DZ_Nr,DZ_Name,Land_Nr,Land_Code,Str_Kl,Str_Nr,Erf_Art,Fernziel_Ri1,Nahziel_Ri1,Hi_Ri1,Fernziel_Ri2,Nahziel_Ri2,Hi_Ri2,Anz_Fs_Q,Betriebs_km,vT_MobisSo,vT_W,vT_U,vT_S,DTV_Kfz_MobisSo_Q,DTV_Kfz_MobisSo_Ri1,DTV_Kfz_MobisSo_Ri2,DTV_Kfz_W_Q,DTV_Kfz_W_Ri1,DTV_Kfz_W_Ri2,DTV_Kfz_U_Q,DTV_Kfz_U_Ri1,DTV_Kfz_U_Ri2,DTV_Kfz_S_Q,DTV_Kfz_S_Ri1,DTV_Kfz_S_Ri2,Entw_Kfz_MobisSo_Q,Entw_Kfz_W_Q,Entw_Kfz_U_Q,Entw_Kfz_S_Q,DTV_SV_MobisSo_Q,DTV_SV_MobisSo_Ri1,DTV_SV_MobisSo_Ri2,DTV_SV_W_Q,DTV_SV_W_Ri1,DTV_SV_W_Ri2,DTV_SV_U_Q,DTV_SV_U_Ri1,DTV_SV_U_Ri2,DTV_SV_S_Q,DTV_SV_S_Ri1,DTV_SV_S_Ri2,Entw_SV_MobisSo_Q,Entw_SV_W_Q,Entw_SV_U_Q,Entw_SV_S_Q,pSV_MobisSo_Q,pSV_W_Q,pSV_U_Q,pSV_S_Q,fer,bSo,bFr,Mt,pMt,Mn,pMn,Md,pMd,Me,pMe,MSV30_Kfz_MobisSo_Q,MSV30_Kfz_W_Q,MSV30_Kfz_U_Q,MSV30_Kfz_S_Q,MSV30maxRi_Kfz_MobisSo,MSV30maxRi_Kfz_W,MSV30maxRi_Kfz_U,MSV30maxRi_Kfz_S,pMSV30maxRi_Kfz_MobisSo,pMSV30maxRi_Kfz_W,pMSV30maxRi_Kfz_U,pMSV30maxRi_Kfz_S,Ri_MSV30maxRi_Kfz_MobisSo,Ri_MSV30maxRi_Kfz_W,Ri_MSV30maxRi_Kfz_U,Ri_MSV30maxRi_Kfz_S,DL_Q,DL_Ri1,DL_Ri2,JG,WG_Ri1,WG_Ri2,TG_Mo_Ri1,TGMax1_Mo_Ri1,TGMax2_Mo_Ri1,TG_Mo_Ri2,TGMax1_Mo_Ri2,TGMax2_Mo_Ri2,TG_DiMiDo_Ri1,TGMax1_DiMiDo_Ri1,TGMax2_DiMiDo_Ri1,TG_DiMiDo_Ri2,TGMax1_DiMiDo_Ri2,TGMax2_DiMiDo_Ri2,TG_Fr_Ri1,TGMax1_Fr_Ri1,TGMax2_Fr_Ri1,TG_Fr_Ri2,TGMax1_Fr_Ri2,TGMax2_Fr_Ri2,TG_Sa_Ri1,TGMax1_Sa_Ri1,TGMax2_Sa_Ri1,TG_Sa_Ri2,TGMax1_Sa_Ri2,TGMax2_Sa_Ri2,TG_SoFei_Ri1,TGMax1_SoFei_Ri1,TG_SoFei_Ri2,TGMax1_SoFei_Ri2,pPLZ_MobisSo_Q,pLfw_MobisSo_Q,pMot_MobisSo_Q,pPmA_MobisSo_Q,pLoA_MobisSo_Q,pLzg_MobisSo_Q,pSat_MobisSo_Q,pBus_MobisSo_Q,pSon_MobisSo_Q,pPLZ_W_Q,pLfw_W_Q,pMot_W_Q,pPmA_W_Q,pLoA_W_Q,pLzg_W_Q,pSat_W_Q,pBus_W_Q,pSon_W_Q,pPLZ_U_Q,pLfw_U_Q,pMot_U_Q,pPmA_U_Q,pLoA_U_Q,pLzg_U_Q,pSat_U_Q,pBus_U_Q,pSon_U_Q,pPLZ_S_Q,pLfw_S_Q,pMot_S_Q,pPmA_S_Q,pLoA_S_Q,pLzg_S_Q,pSat_S_Q,pBus_S_Q,pSon_S_Q,Koor_UTM32_E,Koor_UTM32_N,DTV_Kfz_WU_MobisFr_Q,DTV_Kfz_WU_MobisFr_Ri1,DTV_Kfz_WU_MobisFr_Ri2,DTV_SV_WU_MobisFr_Q,DTV_SV_WU_MobisFr_Ri1,DTV_SV_WU_MobisFr_Ri2,DTV_Kfz_WU_Sa_Q,DTV_Kfz_WU_Sa_Ri1,DTV_Kfz_WU_Sa_Ri2,DTV_SV_WU_Sa_Q,DTV_SV_WU_Sa_Ri1,DTV_SV_WU_Sa_Ri2,MSV30_Kfz_MobisSo_Ri1,MSV30_Kfz_MobisSo_Ri2,MSV30_Kfz_W_Ri1,MSV30_Kfz_W_Ri2,MSV30_Kfz_U_Ri1,MSV30_Kfz_U_Ri2,MSV30_Kfz_S_Ri1,MSV30_Kfz_S_Ri2,bSV30_MobisSo_Ri1,bSV30_MobisSo_Ri2,bSV30_W_Ri1,bSV30_W_Ri2,bSV30_U_Ri1,bSV30_U_Ri2,bSV30_S_Ri1,bSV30_S_Ri2,DTV_Kfz_W_MobisFr_Q,DTV_Kfz_W_MobisFr_Ri1,DTV_Kfz_W_MobisFr_Ri2,DTV_SV_W_MobisFr_Q,DTV_SV_W_MobisFr_Ri1,DTV_SV_W_MobisFr_Ri2,pSV_W_MobisFr_Q,pSV_W_MobisFr_Ri1,pSV_W_MobisFr_Ri2,Koor_WGS84_N,Koor_WGS84_E,MSV50_Kfz_MobisSo_Ri1,MSV50_Kfz_MobisSo_Ri2,pMSV50_Kfz_MobisSo_Ri1,pMSV50_Kfz_MobisSo_Ri2,bSV50_MobisSo_Ri1,bSV50_MobisSo_Ri2,bLkwK50_MobisSo_Ri1,bLkwK50_MobisSo_Ri2,pMSV50_Kfz_W_MobisFr_Ri1,pMSV50_Kfz_W_MobisFr_Ri2,DTV_Kfz_NZB_DiMiDo_Ri1,DTV_Kfz_NZB_DiMiDo_Ri2,bSo_Ri1,bSo_Ri2,bMo_Ri1,bMo_Ri2,bFr_Ri1,bFr_Ri2,bSa_Ri1,bSa_Ri2,Q_P_D,Q_L1_D,Q_L2_D,Q_K_D,Q_P_E,Q_L1_E,Q_L2_E,Q_K_E,Q_P_N,Q_L1_N,Q_L2_N,Q_K_N,Geo_Sequ,Abschnitt_Ast,Station,Ausrichtung,Maut_SID_Ri1,Maut_SID_Ri2,Anz_Fs_Ri1,Anz_Fs_Ri2,DTA_SV_Ri1,fA_SV_Ri1,qBm_SV_Ri1,B_anno_SV_Ri1,DTA_SV_Ri2,fA_SV_Ri2,qBm_SV_Ri2,B_anno_SV_Ri2,DTV_Bus_Ri1,DTV_LoA_Ri1,DTV_Lzg_Ri1,DTV_Sat_Ri1,DTV_Bus_Ri2,DTV_LoA_Ri2,DTV_Lzg_Ri2,DTV_Sat_Ri2,Anmerkungen
19518,2013,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,324.0,192.0,74.0,58.0,152.619,75.304,77.315,161.527,79.887,81.641,154.353,76.782,77.57,119.913,57.727,62.187,"+1,2","+0,5","+2,8","+1,6",13.917,6.761,7.156,16.894,8.213,8.681,14.354,6.971,7.383,3.169,1.521,1.648,"+3,1","+2,5","+3,8","+4,6",9.1,10.5,9.3,2.6,"0,96","0,65","1,03",8.64,8.4,1.797,16.2,9.269,9.0,6.752,6.0,13.128,13.076,12.432,10.368,7.053,7.014,6.714,5.477,9.4,8.8,8.7,9.5,R I,R I,R I,R I,F,D,D,C,A,B,D,9.0,17.0,C,,,D,9.0,18.0,C,,,C,,,C,,,A,,,A,,,A,,A,,89.7,7.2,0.8,1.2,3.0,5.4,4.2,0.7,0.0,88.4,7.7,0.8,1.1,3.4,6.3,4.8,0.7,0.0,89.2,7.4,0.8,1.5,3.1,5.6,4.2,0.7,0.0,96.2,4.8,1.1,1.2,1.0,1.0,0.8,0.6,0.0,695.782,5.345.888,164.799,81.493,83.306,17.913,8.691,9.222,134.547,67.301,67.246,8.009,3.966,4.043,7.053,6.757,7.014,6.745,6.714,6.256,5.477,5.392,"7,4","10,3","7,4","9,5","8,0","8,9","1,5","3,1",166.671,82.295,84.376,18.395,8.926,9.469,11.0,10.8,11.2,48.23595971,11.63672469,,,,,,,,,,,84.687,84.509,"0,65","0,72","0,94","0,99","1,04","1,04","0,73","0,72",,,,,,,,,,,,,50,,,,4.230,1.371,4,4,25.155,"3,72","0,31",2.439.470,27.045,"3,78","0,31",2.605.340,580.0,2.261,3.92,3.047,469.0,2.345,4.342,3.293,
16194,2015,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,178.0,118.0,28.0,32.0,153.094,78.546,74.548,160.848,83.032,77.816,154.087,80.206,73.881,125.287,61.066,64.221,"+2,6","+1,7","+1,2","+8,5",11.285,6.582,4.703,13.597,7.938,5.659,11.642,6.874,4.768,2.917,1.568,1.349,"-13,9","-14,8","-14,5","-1,7",7.4,8.5,7.6,2.3,"0,96","0,79","1,07",8.63,6.8,1.876,12.5,9.241,7.2,6.799,5.1,,,,,,,,,,,,,,,,,,D,D,A,B,B,D,8.0,18.0,D,7.0,18.0,D,8.0,18.0,C,,,C,,,C,,,D,12.0,,A,,,B,13.0,A,,91.5,6.7,1.2,1.1,2.1,4.7,3.6,0.6,0.0,90.5,7.2,1.1,1.1,2.4,5.5,4.1,0.6,0.0,91.2,6.8,1.2,1.2,2.1,4.9,3.8,0.6,0.0,96.6,4.1,1.5,1.1,0.7,1.2,0.8,0.5,0.0,695.782,5.345.888,162.797,84.308,78.489,14.271,8.353,5.918,139.51,71.738,67.772,6.859,4.022,2.837,,,,,,,,,,,,,,,,,164.556,85.131,79.425,14.682,8.571,6.111,8.9,10.1,7.7,48.23595971,11.63672469,7.11,6.045,9.1,8.1,"6,8","4,1","4,5","2,3",8.4,7.6,86.803,79.838,"0,74","0,85","0,95","0,99","1,07","1,08","0,79","0,84",8.47,247.0,422.0,102.0,6.361,104.0,242.0,92.0,1.615,84.0,151.0,27.0,50,,,,4.230,1.371,4,4,25.682,"3,9","0,32",2.542.718,18.056,"3,84","0,32",1.790.615,478.0,1.81,4.294,3.274,427.0,1.331,2.945,2.201,Baustelle und Schleifendefekt zeitweise in 2015 / Schleifendefekt zeitweise in 2014
21018,2012,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,226.0,145.0,39.0,42.0,150.767,74.058,76.709,160.717,79.211,81.506,150.168,74.133,76.034,118.0,56.6,61.4,"-0,7","+0,0","-1,4","-1,8",13.497,6.524,6.972,16.48,7.988,8.491,13.826,6.643,7.184,3.03,1.444,1.586,"+0,3","+0,8","+0,4","+1,0",9.0,10.3,9.2,2.6,"0,93","0,66","0,99",8.512,8.2,1.822,15.8,9.092,8.8,6.771,6.0,13.03,13.005,12.155,9.752,7.056,6.997,6.454,5.267,9.5,8.8,8.7,8.6,R I,R I,R I,R II,F,D,D,A,A,B,D,9.0,18.0,C,,,D,9.0,17.0,B,8.0,,C,,,B,8.0,,A,,,A,,,A,,D,19.0,90.0,6.5,0.9,1.1,2.9,5.4,4.1,0.7,0.0,88.7,7.2,0.9,1.1,3.3,6.2,4.8,0.7,0.0,89.8,6.1,0.8,1.0,2.9,5.6,4.4,0.7,0.0,96.4,4.1,1.1,1.1,1.0,1.0,0.8,0.6,0.0,695.782,5.345.888,162.742,80.223,82.52,17.45,8.426,9.025,134.384,66.361,68.023,7.648,3.772,3.876,7.056,6.76,6.997,6.731,6.454,6.127,5.148,5.267,"7,2","9,9","7,3","10,9","6,4","5,2","1,7","2,2",165.501,81.615,83.886,17.98,8.699,9.281,10.9,10.7,11.1,48.23595971,11.63672469,,,,,,,,,,,84.402,85.181,"0,64","0,73","0,95","0,99","1,01","0,97","0,72","0,72",,,,,,,,,,,,,50,,,,4.230,1.371,4,4,24.277,"3,72","0,32",2.373.019,26.529,"3,8","0,31",2.559.079,614.0,2.144,3.766,2.998,428.0,2.239,4.305,3.256,
22507,2011,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,333.0,199.0,78.0,56.0,151.771,74.274,77.497,160.675,79.142,81.532,152.327,74.806,77.521,120.22,56.716,63.504,"+3,9","+4,7","+3,1","+2,2",13.457,6.524,6.933,16.356,7.92,8.436,13.775,6.72,7.055,3.0,1.43,1.57,"+2,4","+3,0","+2,5","-0,8",8.9,10.2,9.0,2.5,"0,95","0,71","1,04",8.584,8.1,1.802,15.7,9.187,8.7,6.778,5.7,13.1,13.047,12.217,9.932,7.1,7.081,6.513,5.283,9.6,8.9,8.7,8.3,R I,R I,R I,R II,F,D,D,A,B,B,D,8.0,18.0,C,,,D,9.0,18.0,B,8.0,,C,,,B,8.0,,C,11.0,14.0,A,,,D,18.0,A,,90.0,6.5,1.0,1.1,2.8,5.4,4.2,0.7,0.0,88.8,7.1,1.0,1.1,3.2,6.2,4.9,0.7,0.0,89.6,6.2,0.9,1.3,2.8,5.6,4.4,0.6,0.0,96.4,4.1,1.3,1.1,0.9,1.0,0.9,0.6,0.0,695.782,5.345.888,163.629,80.42,83.208,17.343,8.39,8.953,132.988,65.994,66.994,7.442,3.722,3.719,7.1,6.883,7.081,6.88,6.513,6.325,5.275,5.283,"8,7","10,3","8,6","10,1","6,0","10,5","2,0","2,8",165.32,81.34,83.98,17.773,8.584,9.189,10.8,10.6,10.9,48.23595971,11.63672469,,,,,,,,,,,81.736,83.183,"0,68","0,76","0,96","1,00","1,04","1,03","0,75","0,74",,,,,,,,,,,,,50,,,,4.230,1.371,4,4,24.348,"3,73","0,32",2.380.273,26.649,"3,84","0,31",2.583.967,593.0,2.136,3.795,3.045,404.0,2.144,4.385,3.345,
17897,2014,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,93.0,64.0,13.0,16.0,149.176,75.3,73.876,158.124,79.898,78.227,152.272,77.216,75.056,115.438,57.543,57.895,"-2,3","-2,1","-1,3","-3,7",13.104,6.418,6.686,15.954,7.799,8.155,13.62,6.685,6.935,2.966,1.486,1.48,"-5,8","-5,6","-5,1","-6,4",8.8,10.1,8.9,2.6,"0,96","0,69","1,05",8.414,8.1,1.819,15.4,9.005,8.6,6.641,5.9,,,,,,,,,,,,,,,,,,D,D,B,B,B,D,8.0,17.0,C,,,D,8.0,18.0,C,,,C,,,C,,,C,11.0,13.0,A,,,B,12.0,A,,90.3,7.8,1.0,1.0,2.5,5.5,4.3,0.7,0.0,89.0,8.1,1.0,0.9,2.9,6.4,5.0,0.7,0.0,89.8,8.1,1.0,1.2,2.4,5.7,4.5,0.7,0.0,96.5,6.3,1.3,0.9,0.9,1.2,0.9,0.6,0.0,695.782,5.345.888,161.359,81.412,79.947,16.878,8.241,8.637,132.693,68.086,64.607,7.599,3.807,3.792,,,,,,,,,,,,,,,,,162.914,82.132,80.782,17.352,8.459,8.892,10.7,10.3,11.0,48.23595971,11.63672469,6.942,6.26,9.2,8.5,"7,1","8,8","4,3","5,0",8.5,7.7,83.088,80.101,"0,71","0,72","0,96","0,97","1,06","1,03","0,79","0,75",,,,,,,,,,,,,50,,,,4.230,1.371,4,4,24.852,"3,87","0,32",2.452.282,25.586,"3,83","0,32",2.533.594,476.0,1.834,4.109,3.162,590.0,1.952,4.145,3.227,Schleifendefekt zeitweise in 2014
23986,2010,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,341.0,208.0,76.0,57.0,146.104,72.113,73.992,153.482,76.045,77.437,147.733,73.602,74.131,117.653,56.128,61.525,"+1,3","+1,3","+1,6","-0,4",13.144,6.366,6.778,15.872,7.675,8.198,13.442,6.564,6.878,3.024,1.437,1.587,"+2,9","+2,4","+2,5","-0,2",9.0,10.3,9.1,2.6,"0,96","0,76","1,06",8.244,8.2,1.775,15.9,8.795,8.8,6.591,5.9,12.479,12.469,11.697,10.021,6.672,6.637,6.308,5.314,9.3,8.7,8.6,9.5,R I,R I,R I,R I,F,D,D,C,B,B,D,9.0,18.0,G,8.0,,D,9.0,18.0,B,8.0,,C,,,C,,,C,11.0,14.0,A,,,D,18.0,A,,89.7,7.0,1.0,1.3,2.8,5.4,4.2,0.8,0.0,88.4,7.6,1.0,1.3,3.2,6.2,4.8,0.9,0.0,89.6,6.9,0.9,1.3,2.8,5.5,4.3,0.8,0.0,96.2,4.8,1.3,1.2,0.9,1.1,0.9,0.6,0.0,695.782,5.345.888,155.95,77.189,78.762,16.715,8.069,8.646,131.564,66.25,65.313,7.621,3.857,3.763,6.672,6.564,6.637,6.564,6.308,5.944,5.314,5.158,"7,6","11,6","6,3","9,6","6,1","11,2","1,7","2,2",157.607,77.977,79.63,17.217,8.294,8.923,10.9,10.6,11.2,48.23595971,11.63672469,,,,,,,,,,,80.724,80.927,"0,73","0,81","0,96","1,02","1,06","1,05","0,80","0,78",,,,,,,,,,,,,50,,,,4.230,1.371,4,4,23.274,"3,66","0,32",2.303.732,26.253,"3,87","0,31",2.558.310,798.0,2.083,3.484,2.764,392.0,2.023,4.363,3.332,
16213,2015,7735,9063,Garching-Nord (S),9,BY,A,9,8+1,Nürnberg,AS Garching-Nord,N,München,AS Garching-Süd,S,8,519.5,315.0,186.0,73.0,56.0,146.664,73.316,73.349,152.664,76.561,76.103,148.261,74.875,73.387,124.088,60.214,63.874,"+4,0","+3,7","+3,3","+6,0",13.021,6.368,6.653,15.715,7.655,8.059,13.518,6.648,6.87,3.167,1.604,1.563,"+1,8","+1,4","+1,5","+2,3",8.9,10.3,9.1,2.6,"0,97","0,82","1,06",8.265,8.2,1.804,15.5,8.853,8.7,6.499,5.9,,,,,,,,,,,,,,,,,,D,D,C,B,B,D,8.0,18.0,G,7.0,,E,18.0,,B,7.0,,E,16.0,,C,,,C,11.0,13.0,C,11.0,15.0,B,13.0,C,15.0,90.1,6.5,1.0,1.0,2.7,5.4,4.3,0.8,0.0,88.8,7.0,0.9,0.9,3.0,6.5,5.1,0.8,0.0,89.7,6.5,0.9,1.2,2.7,5.6,4.5,0.7,0.0,96.4,4.4,1.2,1.1,0.9,0.9,0.8,0.7,0.0,696.468,5.348.388,154.377,77.352,77.025,16.554,8.048,8.506,136.486,69.67,66.816,7.723,3.951,3.772,,,,,,,,,,,,,,,,,155.71,77.969,77.741,17.001,8.25,8.751,10.9,10.6,11.3,48.25821797,11.6471254,6.829,6.169,9.3,8.4,"7,2","9,6","4,2","5,3",8.8,7.9,79.735,79.42,"0,80","0,83","0,95","0,99","1,07","1,05","0,83","0,81",7.995,308.0,464.0,87.0,6.048,131.0,250.0,71.0,1.512,102.0,178.0,12.0,60,,,,1.360,3.223,4,4,24.419,"3,83","0,32",2.419.339,25.207,"3,79","0,32",2.482.098,552.0,1.85,3.966,3.104,585.0,2.046,4.022,3.189,
14481,2016,7735,9063,Garching-Nord (S),9,BY,A,9,8+1,Nürnberg,AS Garching-Nord,N,München,AS Garching-Süd,S,8,519.5,328.0,193.0,77.0,58.0,146.579,72.864,73.715,152.422,76.082,76.339,148.175,74.225,73.95,124.009,59.805,64.204,"-0,1","-0,2","-0,1","-0,1",13.088,6.477,6.611,15.782,7.794,7.987,13.407,6.657,6.75,3.224,1.623,1.601,"+0,5","+0,4","-0,8","+1,8",8.9,10.4,9.0,2.6,"0,97","0,83","1,09",8.241,8.2,1.84,15.2,8.838,8.7,6.452,6.1,,,,,,,,,,,,,,,,,,D,D,B,B,D,D,8.0,17.0,G,7.0,,E,17.0,,C,,,C,,,C,,,A,,,A,,,D,17.0,A,,90.3,6.6,0.9,0.8,2.6,5.5,4.4,0.8,0.0,88.9,7.1,0.9,0.7,3.0,6.5,5.1,0.9,0.0,90.0,6.8,0.8,0.9,2.6,5.6,4.5,0.8,0.0,96.6,4.3,1.2,0.8,0.9,0.9,0.8,0.7,0.0,696.468,5.348.388,154.405,76.93,77.475,16.745,8.239,8.506,136.497,69.21,67.287,7.565,3.936,3.629,,,,,,,,,,,,,,,,,155.311,77.443,77.868,17.103,8.411,8.692,11.0,10.9,11.2,48.25821797,11.6471254,6.846,6.247,9.4,8.5,"6,9","9,6","4,2","5,4",8.8,8.0,77.214,77.236,"0,79","0,86","0,95","1,00","1,10","1,09","0,89","0,86",7.984,310.0,463.0,81.0,5.992,137.0,256.0,67.0,1.546,102.0,178.0,14.0,60,,,,1.360,3.223,4,4,24.781,"3,83","0,32",2.465.442,25.105,"3,8","0,32",2.486.322,605.0,1.87,4.002,3.164,607.0,1.996,4.007,3.241,Schleifendefekt zeitweise in 2016
12728,2017,7735,9063,Garching-Nord (S),9,BY,A,9,8+1,Nürnberg,AS Garching-Nord,N,München,AS Garching-Süd,S,8,519.5,339.0,200.0,76.0,63.0,145.874,73.224,72.65,152.112,76.48,75.632,148.684,75.399,73.286,121.87,59.815,62.054,"-0,5","-0,2","+0,3","-1,7",13.413,6.529,6.884,16.434,7.939,8.495,13.566,6.725,6.841,3.292,1.65,1.642,"+2,5","+4,1","+1,2","+2,1",9.2,10.8,9.1,2.7,"0,98","0,79","1,07",8.176,8.4,1.881,15.8,8.771,9.0,6.392,6.0,,,,,,,,,,,,,,,,,,D,D,C,B,B,E,17.0,,G,7.0,,E,17.0,,B,7.0,,C,,,C,,,A,,,D,14.0,,D,18.0,D,18.0,89.9,6.4,0.9,0.9,2.8,5.6,4.5,0.8,0.0,88.4,6.8,0.8,0.8,3.3,6.7,5.4,0.8,0.0,89.7,6.4,0.8,1.1,2.7,5.7,4.6,0.7,0.0,96.3,4.6,1.0,1.0,1.1,0.9,0.8,0.7,0.0,696.468,5.348.388,154.046,77.363,76.683,17.173,8.336,8.837,137.523,70.58,66.943,8.401,4.138,4.262,,,,,,,,,,,,,,,,,154.676,77.67,77.006,17.688,8.536,9.152,11.4,11.0,11.9,48.25821797,11.6471254,6.719,6.299,9.2,8.7,"6,4","11,3","4,0","5,5",8.7,8.2,77.643,76.428,"0,77","0,80","0,95","0,98","1,09","1,05","0,84","0,79",7.902,321.0,471.0,76.0,5.95,136.0,245.0,61.0,1.574,102.0,195.0,11.0,60,7735021O7735029O,"0,673",Ri1_ist_VonNK,1.360,3.223,4,4,25.069,"3,84","0,32",2.487.300,25.991,"3,78","0,32",2.545.081,560.0,1.895,4.074,3.251,564.0,2.195,4.125,3.344,
25432,2009,7735,9115,AK München-Nord (N),9,BY,A,9,8+1,Nürnberg,AS Garching-Süd,N,München,AK Kreuz München-Nord (A99),S,8,522.1,340.0,205.0,78.0,57.0,144.245,70.935,73.31,151.47,74.749,76.721,145.348,72.563,72.786,118.11,55.798,62.312,"+1,3","+1,3","+1,4","+1,1",12.779,6.126,6.652,15.504,7.419,8.085,13.11,6.315,6.794,3.029,1.46,1.568,"-8,2","-7,9","-8,0","-10,0",8.9,10.2,9.0,2.6,"0,96","0,78","1,06",8.137,8.1,1.756,15.9,8.673,8.7,6.53,5.8,12.262,12.235,11.421,9.818,6.632,6.597,6.245,5.308,9.3,8.8,8.6,8.5,R I,R I,R I,R II,F,D,D,C,B,B,D,9.0,18.0,G,8.0,,D,9.0,18.0,B,8.0,,C,,,C,,,B,11.0,,A,,,A,,A,,90.0,6.7,1.0,1.1,2.8,5.1,3.9,0.9,0.0,88.7,7.4,1.0,1.1,3.3,6.0,4.6,1.0,0.0,89.8,6.5,1.0,1.2,2.9,5.3,4.1,0.8,0.0,96.3,4.5,1.3,1.1,0.9,1.0,0.8,0.6,0.0,695.782,5.345.888,153.511,75.8,77.711,16.287,7.776,8.511,130.73,65.688,65.041,7.473,3.738,3.735,6.632,6.441,6.597,6.432,6.245,5.918,5.135,5.308,"8,2","10,1","6,8","10,1","7,4","9,9","1,4","1,4",155.08,76.414,78.666,16.783,8.005,8.778,10.8,10.5,11.2,48.23595971,11.63672469,,,,,,,,,,,77.664,79.268,"0,72","0,81","0,95","1,00","1,08","1,04","0,80","0,77",,,,,,,,,,,,,50,,,,4.230,1.371,4,4,22.067,"3,6","0,32",2.195.114,25.473,"3,83","0,31",2.472.324,889.0,2.028,3.209,2.515,421.0,2.066,4.166,3.165,
